gdp pc test,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Central African Rep.,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,345.8381243,347.4597919,349.0890635,350.725975,352.3705622,354.0228609,355.6829074,357.3507381,359.0263893,360.7098979,362.4013006,364.1006344,365.8079365,367.5232444,369.2465955,370.9780275,372.7175784,374.4652863,376.2211893,377.9853258,379.7577346,381.5384544,383.3275241,385.124983,386.9308703,388.7452256,390.5680885,392.3994991,394.2394973,396.0881234,397.9454179,399.8114215,401.6861749,403.5697192,405.4620956,407.3633455,409.2735106,411.1926326,413.1207536,415.0579157,417.0041614,418.9595331,420.9240738,422.8978264,424.8808342,426.8731404,428.8747888,430.885823,432.9062872,434.9362256,436.9756825,439.0247026,441.0833308,443.151612,445.2295917,447.3173152,449.4148282,451.5221766,453.6394066,455.7665645,457.9036968,460.0508504,462.2080722,464.3754093,466.5529093,468.7406199,470.9385888,473.1468642,475.3654944,477.5945279,479.8340136,482.0840005,484.3445378,486.6156749,488.8974616,491.1899479,493.4931838,495.8072198,498.1321065,500.4678949,502.814636,505.1723811,507.541182,509.9210904,512.3121584,514.7144383,517.1279828,519.5528446,521.9890768,524.4367328,526.895866,529.3665303,531.8487798,534.3426688,543.7872794,553.3988253,563.1802571,573.1345777,583.2648428,593.5741623,604.065701,614.7426797,625.6083761,636.6661258,647.9193234,659.3714234,671.0259416,682.8864555,694.9566064,707.2400996,719.7407059,732.4622628,745.4086757,758.583919,771.9920373,785.6371466,799.523436,813.6551681,828.0366815,842.6723908,857.5667892,872.7244489,888.1500232,903.8482476,919.8239411,936.0820081,952.6274397,969.4653149,986.6008028,1004.039164,1021.785751,1046.826979,1071.310713,1095.180712,1119.354923,1143.730538,1167.26665,1190.844328,1214.365564,1237.027984,1225.463418,1248.640302,1193.068753,1166.796889,1162.472889,1146.841218,1116.06553,1136.056615,1122.2077,1154.800664,1179.308104,1117.8699,1070.013275,1096.596972,1042.700878,1035.322677,1052.578482,1109.374338,1100.007343,1011.234465,975.6847781,964.7932387,956.7529907,875.4056868,908.6485257,891.6318444,887.1777963,844.8763504,837.772705,844.8043468,851.2086134,822.2391912,747.9055252,727.786429,753.9103754,775.9574039,702.8394925,740.5063317,752.4103617,763.5731171,762.1807688,753.5079073,738.6906068,671.7856949,671.051573,675,693.3385857,711.0633268,711.4406529,697.9347095,701.6569599,707.1383689,718.2646332
Chad,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,400.6886094,402.567476,404.4551528,406.3516811,408.2571024,410.1714584,412.094791,414.0271423,415.9685546,417.9190703,419.8787321,421.8475831,423.8256661,425.8130246,427.8097019,429.8157419,431.8311884,433.8560855,435.8904775,437.934409,439.9879247,442.0510695,444.1238886,446.2064273,448.2987313,450.4008462,452.5128182,454.6346934,456.7665183,458.9083395,461.0602039,463.2221586,465.394251,467.5765284,469.7690388,471.9718301,474.1849504,476.4084483,478.6423724,480.8867715,483.1416949,485.4071918,487.6833118,489.9701048,492.2676207,494.5759099,496.895023,499.2250105,501.5659236,503.9178134,506.2807315,508.6547295,511.0398594,513.4361735,515.843724,518.2625638,520.6927458,523.1343231,525.5873492,528.0518778,530.5279627,533.0156583,535.5150189,538.0260993,540.5489543,543.0836393,545.6302096,548.188721,550.7592295,553.3417914,555.9364632,558.5433016,561.1623637,563.7937069,566.4373887,569.0934669,571.7619998,574.4430456,577.1366632,579.8429113,582.5618493,585.2935367,588.0380332,590.7953989,593.5656942,596.3489796,599.1453161,601.9547649,604.7773875,607.6132456,610.4624013,613.324917,616.2008553,619.0902791,629.2081353,639.4913486,649.9426216,660.5647007,671.3603777,682.3324894,693.4839195,704.8175986,716.3365052,728.0436665,739.9421591,752.0351099,764.3256972,776.8171507,789.5127534,802.4158416,815.5298063,828.8580939,842.404207,856.1717057,870.164208,884.3853913,898.8389928,913.528811,928.4587064,943.6326026,959.0544874,974.7284136,990.6585004,1006.848934,1023.30397,1040.027932,1057.025216,1074.300288,1091.857688,1109.70203,1127.838005,1153.462234,1178.665927,1203.409947,1229.372028,1255.590763,1281.990419,1308.495577,1335.839759,1361.476485,1348.769683,1343.287511,1389.817618,1345.059535,1285.508501,1264.434252,1215.213814,1196.810565,1165.850943,1219.07003,1215.75278,1211.693363,1104.103987,1026.421357,1140.603365,1305.724132,1255.776943,1133.98495,1100.920264,855.7855382,804.728673,794.7991428,797.9081006,886.9179472,896.3211559,1083.308601,1010.51817,952.386129,1066.26406,1097.785994,999.1073309,1065.939512,1058.0643,1003.689503,1023.259765,995.9822794,995.1010414,1004.961353,1048.805823,1039.290389,1017.034996,1084.203774,1156.18186,1287.084562,1669.418388,1749,1708.937371,1670.295077,1656.476273,1596.656892,1759.973441,1726.137651,1768.882018
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,702.100651,671.2576297,674.8788497,672.1595358,655.8490216,675.3318806,680.4011235,683.3422852,678.2996508,682.2604426,671.7400611,670.8012799,679.5253583,676.847995,691.323308,706.8051412,701.5287157,718.1107719,721.2215867,722.492853,759.8572253,761.1452098,769.8493778,784.8338012,787.6699265,802.7315596,820.9973955,829.8183278,854.9804537,906.1368628,942.8660399,959.040049,977.7801798,946.8137641,964.3814892,998.49492,1000.393837,1022.85643,1057.275133,1081.099094,1106.689252,1096.142787,1081.494612,1111.613592,1158.899385,1186.330226,1199.800827,1141.194203,1186.104394,1291.650093,1305.810643,1288.947976,1364.892417,1433.729008,1353.283395,1443.32823,1406.652401,1341.236889,1401.498991,1590.659179,1761.149845,1796.412208,1917.940129,1902.050746,1891.539204,1809.208278,1859.308833,1961.869728,1858.470492,1880.770901,1990.160897,2124.060034,2054.332547,2128.492405,2066.711612,2183.836047,2168.762684,2094.591004,2319.898469,2306.30672,2220.491361,2249.316015,2320.224421,2164.576673,2315.067038,2286.484967,2437.444844,2537.54782,2775.59746,2758.564455,3036.286576,2921.343807,3003.540289,3024.38217,2526.955979,2417.903649,2930.095268,2958.571026,2961.159411,2510.403,2801.566778,2398.380806,2455.035779,2919.38703,3098.601162,3190.457651,2884.864928,2793.05986,3372.545029,3497.099093,2893.238388,2244.415674,1866.698534,2263.315729,2687.513448,2794.54179,2881.793503,3219.607733,3199.006572,3207.473556,3275.24104,3178.598398,3264.582107,3295.376443,3295.074861,3513.352156,3743.948917,3279.227425,3756.642487,3611.835982,3713.996032,3775.990775,3939.978789,4161.720289,3954.372251,4023.329204,4004.522058,4315.622723,4444.518373,4090.770396,4321.773456,4418.959102,4519.094331,4695.230243,4694.222513,4632.335272,5044.562145,5106.654313,5189.48029,5283.392753,5294.516362,5664.808116,5494.024437,5094.38258,5052.185163,4324.825244,4399.447312,4756.763836,5071.085345,5409.113458,5748.916253,6003.986604,5095.665738,4868.236526,5071.315843,5090.754651,5290.958036,5547.063754,5850.785603,6359.079798,6478.746651,6877.26684,7596.125964,8000.882548,8501.165839,9082.416743,9620.049939,10118.05318,10310.03016,10105.60694,10435.17429,10665.20495,10778.78385,11082.55301,11649.71337,12262,12845.60478,13379.7443,13653.29962,13401.32151,14038.37229,14735.13631,15403.76081
China,985.8893303,979.3513605,972.8567476,966.4052039,959.996444,953.630184,947.3061422,941.0240385,934.7835949,928.5845351,922.4265847,916.3094709,910.2329231,904.1966722,898.2004509,892.2439939,886.3270374,880.4493194,874.6105798,868.8105601,863.0490035,859.0194205,855.0086517,851.0166092,847.0432055,843.0883538,839.1519672,835.2339597,831.3342454,827.4527389,823.5893552,819.7440096,815.916618,812.1070965,808.3153617,804.5413306,800.7849204,797.046049,793.3246343,789.620595,785.9338499,782.2643182,778.6119196,774.976574,771.358202,767.7567241,764.1720616,760.6041359,757.0528688,753.5181827,750,700.9914489,655.1853486,612.3724357,572.3571213,534.956597,500,511.5259376,523.3175697,535.381021,547.7225575,560.3485896,573.2656753,586.4805241,600,626.7719022,654.7383624,683.9526814,714.4705386,746.3500976,779.6521173,780.415149,781.1789274,781.9434533,782.7087275,783.4747506,784.2415234,785.0090466,785.777321,786.5463473,787.3161262,788.0866585,788.8579449,789.6299862,790.402783,791.1763362,791.9506464,792.7257144,793.5015409,794.2781268,795.0554727,795.7753943,796.4959677,797.2171937,797.9390727,798.6616053,799.3847923,800.108634,800.8331312,801.5582845,802.2840943,803.0616694,803.8399981,804.6190812,805.3989193,806.1795133,806.9608638,807.7429716,808.5258375,809.309462,810.0938461,810.8789904,811.6648957,812.4515626,823.402883,834.5018201,845.7503637,857.1505304,868.7043639,880.4139355,892.2813447,904.3087188,916.4982141,928.8520159,941.372339,954.0614278,966.9215574,979.9550332,993.1641918,1006.551401,1015.720194,1018.480247,1043.083684,1035.379468,940.1833003,1010.720853,1068.93,1037.421107,1006.211943,926.7211997,853.5102249,786.0829172,723.9823667,666.7877597,614.1115267,565.5967161,546.2248262,527.5164304,509.4488039,492,493.3570208,540.7046494,592.0151699,655.1697567,663.0635639,680.294187,715.4935127,764.7435715,880.0123971,956.8570262,895.110825,567.4786838,581.8447502,657.2932134,744.0450121,812.3666901,877.5030384,770.2420002,722.5958452,797.6021273,932.4979788,970.3715284,940.8399637,1005.607961,1006.919157,1051.239671,1027.203848,1050.419964,1189.665049,1249.909043,1276.917102,1319.552004,1422.389205,1500.15196,1791.924887,1933.469158,2009.222604,2087.366539,2035.622216,1895.983683,1968.259542,2062.035988,2214.967487,2456.946891,2644.763299,2949.550507,3020.265551,3178.446067,3123.283056,3250.640738,3407.514114,3619.427465,3989.680642,4292.342712,4706.038456,5152.282463,5760.846869,6374.657164,6481.598664,6932.744583,7405.726251,7781.365736,8346.867309
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,522.9751617,524.2489944,525.5259298,526.8059754,528.089139,529.375428,530.66485,531.9574128,533.2531239,534.5519911,535.8540219,537.1592241,538.4676055,539.7791738,541.0939367,542.411902,543.7330776,545.0574712,546.3850907,547.7159439,549.0500387,550.3873831,551.7279849,553.071852,554.4189924,555.7694142,557.1231252,558.4801335,559.8404471,561.2040741,562.5710225,563.9413005,565.3149161,566.6918775,568.0721928,569.4558703,570.8429179,572.2333441,573.627157,575.0243649,576.424976,577.8289986,579.2364411,580.6473118,582.0616189,583.479371,584.9005763,586.3252433,587.7533804,589.1849961,590.6200989,592.0586972,593.5007995,594.9464145,596.3955506,597.8482164,599.3044205,600.7641716,602.2274782,603.6943491,605.1647929,606.6388183,608.1164341,609.5976489,611.0824716,612.570911,614.0629758,615.5586749,617.0580171,618.5610114,620.0676665,621.5779915,623.0919953,624.6096867,626.1310749,627.6561688,629.1849774,630.7175098,632.253775,633.7937822,635.3375405,636.8850589,638.4363468,639.9914131,641.5502672,643.1129182,648.1680172,677.8095649,701.9952068,724.7205612,751.1107641,772.9681555,795.2984541,813.7726253,823.5482492,840.2974503,861.89011,874.9337578,900.8918794,952.3968063,992.81252,1024.239179,1067.08792,1107.430328,1141.803602,1173.691935,1255.500612,1336.002014,1399.433215,1413.64424,1384.677265,1345.954514,1419.21333,1482.010019,1557.563976,1577.062448,1641.716285,1647.75799,1735.242601,1795.234606,1786.074081,1768.316523,1724.650562,1685.556609,1754.335171,1789.637851,1913.776334,1936.982356,1940.10509,2057.579864,2087.94942,2079.140009,2144.115096,2184.166023,2270.060515,2286.564672,2321.01825,2323.805581,2292.183998,2381.60429,2399.030025,2443.566833,2492.351109,2493.767832,2566.85756,2591.012402,2657.978405,2678.729839,2770.645778,2871.629193,2987.809194,3095.90301,3264.660041,3415.452816,3557.449209,3587.954665,3706.295665,3815.80787,4095.237743,4263.250079,4379.579699,4424.36432,4397.575659,4406.319305,4470.55014,4533.921683,4719.372345,4903.2191,5046.812704,5145.386287,5302.339929,5321.599053,5444.648617,5645.094313,5823.696503,6013.410273,6022.650485,6117.361746,6041.411985,5680.881734,5749.552012,5737.997823,5755.259962,5885.51966,6080.32445,6306,6648.236012,7022.768022,7186.091011,7219.102653,7417.802828,7817.963263,8035.656382
Comoros,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,800.6066018,802.2907099,803.9783607,805.6695615,807.3643198,809.062643,810.7645388,812.4700146,814.1790779,815.8917363,817.6079974,819.3278687,821.0513578,822.7784723,824.5092199,826.2436082,827.9816448,829.7233375,831.4686938,833.2177216,834.9704286,836.7268225,838.4869109,840.2507019,842.018203,843.7894221,845.5643671,847.3430457,849.1254658,850.9116354,852.7015622,854.4952542,856.2927193,858.0939654,859.8990006,861.7078327,863.5204697,865.3369197,867.1571907,868.9812907,870.8092278,872.64101,874.4766454,876.3161422,878.1595084,880.0067522,881.8578818,883.7129053,885.5718309,887.4346668,889.3014213,891.1721026,893.0467189,894.9252786,896.8077899,898.6942611,900.5847006,902.4791167,904.3775178,906.2799122,908.1863084,910.0967148,912.0111398,913.9295919,915.8520796,917.7786112,919.7091954,921.6438406,923.5825555,925.5253485,927.4722283,929.4232034,931.3782824,933.3374741,935.300787,937.2682298,939.2398111,941.2155398,943.1954245,945.179474,947.167697,949.1601023,951.1566988,953.1574951,955.1625002,957.1717229,959.1851721,961.2028566,963.2247855,965.2509675,967.2814117,969.316127,971.3551224,973.398407,975.4459896,977.4978795,979.5540856,981.6146169,983.6794827,985.7486921,987.822254,989.9001778,991.9824726,994.0691476,996.160212,998.2556751,1000.355546,1002.459834,1004.568549,1006.681699,1008.799294,1010.921344,1013.047858,1015.178845,1017.314314,1019.454276,1021.598739,1023.747713,1025.901207,1028.059232,1030.221796,1032.388909,1034.56058,1036.73682,1038.917637,1041.103042,1043.293045,1045.487653,1047.686879,1049.89073,1052.099217,1090.8497,1102.990936,1122.692823,1162.076011,1174.148266,1193.113143,1211.148548,1218.420538,1260.080141,1337.131021,1320.492218,1406.648278,1666.013268,1750.414737,1714.180233,1847.269099,1876.029643,1827.896396,1807.691411,1894.286984,2167.202633,1937.577675,1669.686958,1980.870611,1509.807426,1298.574152,1172.603047,1177.321915,1170.842325,1208.284779,1247.481738,1267.100083,1283.264265,1291.087584,1296.915619,1296.800346,1315.980812,1337.51048,1303.552925,1286.802632,1183.073153,1246.90737,1247.045566,1146.28987,1209.226798,1158.462761,1173.618235,1148.852454,1137.887465,1090.794699,1083.420477,1075.811558,1070.954933,1083.024355,1063,1054.063011,1037.458491,1026.025345,1023.113264,1022.62455,1023.898606,1027.408543
"Congo, Dem. Rep.",394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,394.0276101,395.8752427,397.731539,399.5965396,401.4702854,403.3528174,405.2441767,407.1444048,409.0535433,410.9716339,412.8987186,414.8348395,416.7800391,418.73436,420.6978448,422.6705366,424.6524786,426.643714,428.6442866,430.65424,432.6736183,434.7024656,436.7408264,438.7887453,440.846267,442.9134367,444.9902995,447.0769009,449.1732866,451.2795024,453.3955945,455.5216091,457.6575929,459.8035924,461.9596547,464.1258271,466.3021568,468.4886915,470.6854791,472.8925676,475.1100054,477.3378409,479.576123,481.8249006,484.0842229,486.3541394,488.6346998,490.9259539,493.2279519,495.5407442,497.8643815,500.1989144,502.5443942,504.9008722,507.2683999,509.6470292,512.0368121,514.437801,516.8500483,519.2736068,521.7085296,524.1548701,526.6126816,529.082018,531.5629334,534.0554821,536.5597185,539.0756976,541.6034743,544.143104,546.6946422,549.2581449,551.833668,554.4212681,557.0210016,559.6329255,562.257097,564.8935735,567.5424126,570.2036724,572.8774111,575.5636873,578.2625596,580.9740872,583.6983294,586.4353458,589.1851964,591.9479412,594.7236409,597.512356,600.3141477,603.1290773,605.9572063,608.7985967,610.2627138,611.730352,613.2015198,614.6762256,616.154478,617.6362855,619.1216566,620.6105999,622.1031241,623.5992376,625.0989492,626.6022675,628.1092011,629.6197589,631.1339494,632.6517814,634.1732637,635.6984051,637.2272143,638.7597002,640.2958716,641.8357374,643.3793065,644.9265878,646.4775901,648.0323225,649.5907939,651.1530133,652.7189898,654.2887323,655.8622499,657.4395518,659.0206469,660.6055444,662.1942536,663.7867834,665.3831432,729.0982963,780.5423257,809.0350048,841.4015151,856.7983638,896.3768632,905.8602303,861.471056,872.6785366,873.465309,762.1156142,896.3146335,915.0041936,872.8345291,861.8789297,897.0837121,861.5932424,871.2142266,925.0605442,897.414334,928.8337636,904.8960685,955.9229375,961.9573934,888.5006071,814.5308495,795.757282,727.848714,703.9828316,698.666471,696.0740789,673.7478181,665.8477957,683.4559325,665.8819273,676.3524858,672.774812,655.3399676,630.5611742,595.592569,527.6668628,465.0731377,395.6145322,373.4363393,367.2168055,362.1905747,343.518125,335.8593752,316.7130281,292.4510478,281.9085966,287.3819183,299.4902502,314.5189743,330,338.2700053,348.9690897,359.6585283,359.0802231,373.6323918,387.7058914,403.164594
"Congo, Rep.",387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,387.3762863,389.1927302,391.0176915,392.8512103,394.6933266,396.5440808,398.4035133,400.2716649,402.1485764,404.034289,405.9288438,407.8322824,409.7446464,411.6659776,413.5963181,415.5357102,417.4841963,419.441819,421.4086212,423.3846459,425.3699363,427.364536,429.3684886,431.3818378,433.4046279,435.436903,437.4787076,439.5300865,441.5910845,443.6617466,445.7421183,447.8322451,449.9321727,452.041947,454.1616142,456.2912208,458.4308133,460.5804386,462.7401436,464.9099757,467.0899824,469.2802113,471.4807104,473.6915278,475.912712,478.1443115,480.3863752,482.6389522,484.9020916,487.1758432,489.4602566,491.7553818,494.0612691,496.3779689,498.705532,501.0440092,503.3934517,505.753911,508.1254387,510.5080867,512.9019072,515.3069526,517.7232754,520.1509286,522.5899653,525.0404388,527.5024029,529.9759113,532.4610183,534.9577781,537.4662455,539.9864753,542.5185228,545.0624432,547.6182923,550.1861261,552.7660006,555.3579724,557.9620983,560.5784351,563.2070401,565.847971,568.5012854,571.1670415,573.8452975,576.5361121,579.2395442,581.955653,584.6844979,587.4261385,590.180635,592.9480476,595.7284368,598.5218635,618.7369486,639.6347984,661.2384735,683.5718129,706.6594613,730.5268954,755.2004524,780.7073591,807.075762,834.3347582,862.5144273,891.6458652,921.7612179,952.893717,985.0777168,1018.348732,1052.743476,1088.299902,1125.057248,1163.056074,1202.33831,1242.947305,1284.927869,1328.326328,1373.190569,1419.570102,1467.516104,1517.081482,1568.320932,1621.290996,1676.050124,1732.658742,1791.179318,1851.676426,1914.216826,1978.869528,2045.705876,2086.264369,2125.621418,2163.659332,2202.171632,2240.944714,2277.929335,2315.056572,2352.13624,2388.978301,2416.96786,2441.679738,2464.783157,2489.386256,2513.68622,2537.541404,2606.334098,2677.939642,2749.044956,2822.365762,2896.111331,3049.901177,3213.152683,3382.104859,3557.863489,3740.933116,3654.707578,3259.178978,3113.912909,3487.818169,3968.450337,4653.122626,4879.507522,4974.834563,5137.424322,4760.070186,4302.4737,4201.194937,4080.895491,4102.610122,4066.158831,4036.644946,4016.239529,3850.635571,3523.157481,3554.390801,3596.919234,3484.164376,3516.058844,3304.517647,3423.522265,3397.83587,3484.06197,3425.542047,3455.041415,3621,3738.392083,3575.551407,3668.406779,3831.288244,4049.163661,4069.650354,4106.511739
Cook Islands,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,404.6722358,405.9863856,407.3048029,408.6275018,409.9544961,411.2857997,412.6214266,413.9613909,415.3057067,416.654388,418.0074491,419.3649042,420.7267676,422.0930535,423.4637764,424.8389506,426.2185906,427.6027109,428.991326,430.3844506,431.7820993,433.1842868,434.5910278,436.0023371,437.4182296,438.8387201,440.2638235,441.6935549,443.1279293,444.5669617,446.0106673,447.4590612,448.9121587,450.3699751,451.8325256,453.2998257,454.7718907,456.2487362,457.7303777,459.2168307,460.7081109,462.204234,463.7052156,465.2110715,466.7218177,468.2374699,469.7580441,471.2835562,472.8140224,474.3494587,475.8898812,477.4353062,478.9857498,480.5412284,482.1017584,483.667356,485.2380379,486.8138205,488.3947203,489.980754,491.5719383,493.1682898,494.7698254,496.3765619,497.9885161,499.6057051,501.2281459,502.8558554,504.4888508,506.1271493,507.770768,509.4197243,511.0740355,512.733719,514.3987922,516.0692726,517.7451778,519.4265254,521.1133331,522.8056187,524.5033998,526.2066943,527.9155202,529.6298955,531.349838,533.075366,534.8064975,536.5432508,538.2856441,540.0336957,541.787424,543.5468474,545.3119845,547.0828537,561.4059018,576.1039383,591.1867807,606.6645034,622.5474448,638.8462137,655.5716969,672.7350661,690.3477854,708.4216191,726.9686397,746.0012355,765.5321193,785.5743365,806.1412743,827.2466703,848.9046218,871.129595,893.936435,917.3403756,941.3570492,966.0024978,991.2931831,1017.245998,1043.878277,1071.20781,1099.252851,1128.032133,1157.564878,1187.870813,1218.970181,1250.883754,1283.632848,1317.23934,1351.725674,1387.114888,1423.430618,1460.697122,1498.939291,1538.18267,1578.453471,1619.778591,1662.185636,1705.702929,1750.359538,1796.185291,1843.210798,1891.467468,1940.987535,1991.804076,2043.951032,2097.463235,2152.376429,2208.727293,2266.553465,2325.893571,2386.787246,2114.748818,1889.71577,1888.607909,1902.070321,1915.425401,1946.916449,1999.992589,2010.203437,2660.51827,3536.952449,5025.863093,6563.514397,6499.367118,7241.722469,7615.12155,7922.001229,7821.002907,7991.319544,8368.597008,9022.544396,9617.346051,10114.94715,10435.98277,10820.38076,10401.07135,10517.89614,10497.19366,10707.74746,11329.12323,13288.47188,14340.897,15118.17802,16791.55785,17974.4843,18482.13614,19153.29105,18920.33374,18111.31839,17345.91105,17270.08499,17747.04863,
Costa Rica,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,670.1203273,677.5489876,685.0599989,692.6542739,700.3327357,708.0963175,715.9459631,723.8826263,731.907272,740.0208753,748.2244225,756.5189106,764.9053478,773.3847533,781.9581579,790.6266034,799.3911435,808.2528435,817.2127804,826.2720432,835.4317331,844.6929632,854.0568593,863.5245595,873.0972144,882.7759876,892.5620554,902.4566073,912.4608458,922.575987,932.8032602,943.1439084,953.5991886,964.1703713,974.8587416,985.6655985,996.5922555,1007.640041,1018.810297,1030.104381,1041.523667,1053.069542,1064.74341,1076.546689,1088.480813,1100.547235,1112.747419,1125.08285,1137.555025,1150.165462,1162.915692,1175.807266,1188.84175,1202.020729,1215.345804,1228.818595,1242.44074,1256.213893,1270.13973,1284.219943,1298.456242,1312.850359,1327.404043,1342.119063,1356.997207,1372.040283,1387.250121,1402.628568,1418.177494,1433.898788,1449.794362,1465.866147,1482.116097,1498.546186,1515.158413,1531.954795,1548.937375,1566.108216,1583.469405,1601.023053,1618.771293,1636.716283,1654.860202,1673.205257,1691.753678,1710.507718,1729.469657,1748.6418,1768.026477,1787.626044,1807.442883,1827.479403,1847.738039,1868.221253,1888.931535,1909.871403,1931.0434,1952.450101,1974.094108,1995.97805,2018.104588,1930.707983,2101.234587,1898.126629,2123.84301,2069.567156,2239.722113,2033.466712,2094.671239,1965.686287,2020.826958,1956.833861,1766.239855,2063.551861,1785.979818,1898.126629,1988.513612,2239.220608,2331.869246,2320.611684,2190.973163,2414.623671,2097.499454,2061.953035,1813.056528,2006.268198,2186.314702,2529.906872,2603.295737,2638.977074,2439.821535,2425.020662,2627.009471,2924.001106,2845.097226,3057.11838,2859.875113,2990.010802,3237.298051,3228.865024,3374.87672,3383.620348,3460.937025,3627.389345,3680.523875,3885.682359,4049.721543,4161.727834,4346.334259,4501.736219,4665.440252,4833.791375,5118.146939,5367.226539,5505.864112,5463.450084,5600.274104,5926.876967,6052.636212,6163.742416,6102.954505,5817.934537,5262.734751,5257.076464,5508.07093,5394.25369,5525.604331,5629.915318,5668.466508,5839.223281,5899.671435,5885.810585,6160.416317,6374.841762,6508.092174,6515.306183,6444.682744,6677.045314,7106.616898,7637.89317,7672.846951,7627.109907,7723.447195,8098.561259,8301.89771,8661,9231.718534,9764.115238,9831.547552,9547.773224,10122.52882,10427.3115,10827.67873
